,model,price,rating,rat1,rat2,processor,processor_core,ram,memory,gpu,resolution,os,warranty
294,Dell Inspiron 7420 2-in-1 Touch Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹59,144",65,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
295,Xiaomi Redmi Book Pro 15 2022 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹61,990",73,0,0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 3200 x 2000 pixels",Windows 10  OS,1 Year Warranty
296,Lenovo IdeaPad Slim 3 81X800LGIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹38,400",0,0,39,11th Gen Intel Core i3,8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,2 Year Warranty,2 USB 3.0 Ports
297,Lenovo ThinkBook 15 21A4A09TIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11),"₹36,990",0,56,0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
298,Asus TUF Gaming F17 FX777ZE-HX052WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹1,01,990",80,0,0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,"17.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
299,Dell Inspiron 7420 D560780WIN9S Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹53,990",65,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,256 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty,Backlit Keyboard
300,Asus ROG Strix G15 G513IE-HN040WS Gaming Laptop (Ryzen 7 4800H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹85,990",75,0,0,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
301,Infinix INBook X1 Slim XL21 Laptop (10th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),"₹38,990",0,51,0,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
302,HP 255 G8 62Y23PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Win11 Home),"₹29,990",0,56,0,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 8 Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
303,Infinix INBook X1 Slim Series XL21 Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹32,990",0,47,0,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,512 GB SSD,Intel Integrated UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
304,HP Pavilion 15-eg2039TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11),"₹90,990",66,0,0,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
305,Vaio SE14 NP14V3IN018P Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),"₹40,000",65,0,0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
306,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB/ MacOS),"₹1,29,990",0,45,0,Apple M2 Apple M2 Chip,Octa Core,8 GB Unified Memory RAM,512 GB SSD,10-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
307,Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ macOS),"₹1,29,900",0,43,0,Apple M2 Apple M2 Chip,Octa Core,8 GB  RAM,256 GB SSD,10 Core GPU,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty
308,Asus TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹54,990",63,0,0,10th Gen Intel Core i5 10300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
309,Asus TUF Gaming F15 FA506IHRB-HN079W Gaming Laptop (AMD Ryzen 5 4600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹53,990",69,0,0,5th Gen AMD Ryzen 5 4600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
310,HP Victus 16-d0354TX Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹81,800",71,0,0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
311,HP Pavilion 14-dv2053TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win 11),"₹61,490",60,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
312,HP Pavilion 14-dv2015TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11),"₹84,490",65,0,0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
313,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11),"₹58,990",0,57,0,12th Gen Intel Core i5 1235U ,"10 Cores, 12 Threads",8 GB LPDDR4x RAM,256 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
